1,An Operator Interaction Framework for Visualization Systems,1998,information visualization operators user interactions view/value framework spreadsheet design extensibility systems operator interaction framework visualization systems,english
2,IVORY - An Object-Oriented Framework for Physics-Based Information Visualization in Java,1998,three-dimensional information visualization physics-based graph layout object-oriented toolkit multidimensional modeling time varying data ivory object-oriented framework physics-based information visualization java,english
3,The Shape of Shakespeare: Visualizing Text using Implicit Surfaces,1998,blobby models document clustering graphics implicit surface modeling information retrieval visualization procedural text user interfaces shape shakespeare visualizing text implicit surfaces,english
4,Dynamic Aggregation with Circular Visual Designs,1998, dynamic aggregation circular visual designs,english
5,Comparative Visualization of Protein Structure-Sequence Alignments,1998,proteins structure alignment fold recognition threading similarity glyphs streamlines ribbons amino acids comparative visualization protein structure-sequence alignments,english
6,Similarity Clustering of Dimensions for an Enhanced Visualization of Multidimensional Data,1998, similarity clustering dimensions enhanced visualization multidimensional data,english
7,Algorithm Visualization For Distributed Environments,1998,algorithm visualization animation distributed algorithms algorithm visualization distributed environments,english
8,Visualizing Decision Table Classifiers,1998,classifier decision table dimensional stacking trellis displays relational data mining visualizing decision table classifiers,english
9,Reconfigurable Disc Trees for Visualizing Large Hierarchical Information Space,1998,information visualization disc tree compact plane hierarchy reconfigurable disc trees visualizing large hierarchical information space,english
10,IVEE: an Information Visualization and Exploration Environment,1995,file ivee information visualization exploration environment alphasliders arbitrary graphical objects automatic dynamic query creation computer animation data visualisation database relations details-on-demand retrieval maps multimedia computing multiple clients devices visualizations network formulation processing sliders starfields toggles user actions workstations ivee information visualization exploration environment,english
11,SDM: malleable information graphics,1995,sdm data visualisation direct manipulation graphical user interfaces information analysis tasks interactive systems techniques malleable graphics object set selection selective dynamic action visualizations sdm malleable information graphics,english
12,VRMosaic: WEB access from within a virtual environment,1995,realeyes vr-capable interviews vrmosaic web access computer displays data visualisation detailed geometry display person perspective flat screen mosaic frame rates fully immersive vr system information networks large-scale nongeometric virtual environment reality vrmosaic web access virtual environment,english
13,Visualizing the non-visual: spatial analysis and interaction with information from text documents,1995,action archived reports data visualisation digital libraries information interaction retrieval informational characteristics large text document corpora library automation natural world nonvisual visualization perception procedures regulations spatial analysis representation content spatialization documents visual browsing databases word processing visualizing non-visual spatial analysis interaction information text documents,english
14,The information mural: a technique for displaying and navigating large information spaces,1995,antialiasing techniques browsing color graphics colour data visualisation visualization display screen global views grayscale shading information mural navigation large spaces object-oriented programming programs software user interfaces visual information mural technique displaying navigating large spaces,english
15,Case study: 3D displays of Internet traffic,1995,3d displays internet traffic arc height computer animation data visualisation geographic context globe surface translucency large sets line crossing clutter reduction navigation network stereo image processing telecommunication computing time indicator world-wide communications case study 3d displays internet traffic,english
16,Case study: fishing for information on the Internet,1995,fish search visualization tool internet color data attributes visualisation document hierarch hierarchically structured information viewing indentation overload management retrieval large spaces online front-ends order returned documents requests tools size user navigation case study fishing information internet,english
17,Case study: Visualising cyberspace: information visualisation in the Harmony Internet browser,1995,gopher spaces harmony internet browser client hyper-g information system cyberspace visualisation data models structures hypermedia retrieval systems location feedback navigational facilities case study visualising cyberspace information visualisation harmony internet browser,english
18,Case study: Narcissus: visualising information,1995,narcissus world wide web adaptive systems complex information spaces concurrent engineering data manipulation visualisation networks retrieval intuitive understanding large computer based sets navigation object programming environments self-adjusting software user support virtual reality visual tools case study narcissus visualising information,english
19,Case study: visualizing Internet resources,1995,internet resource visualisation world-wide web hyperspace browsing data document linking documents hierarchical structure information analysis interaction retrieval discovery personal retrieved user-centric approach visual representation case study visualizing internet resources,english
20,Case study: A WWW viewpoint on scientific visualization: an EPA case study for technology transfer,1995,epa case study internet unix world wide web data visualisation decision makers environmental science computing scientists government processing high performance workstations information dissemination retrieval intelligent visualization capability access knowledge microcomputer applications operating systems computers personal policy analysts public administration scientific capabilities technology transfer case study viewpoint scientific visualization epa technology transfer,english
21,Case study: an empirical investigation of thumbnail image recognition,1995,data compression visualisation edge detection edge-detecting smoothing image coding databases reduction selection lossy parent treatment searching static codebook thumbnail creation recognition user interface interfaces visual case study empirical investigation thumbnail image recognition,english
22,Towards a generative theory of diagram design,1995,ave cad aesthetics automatic visualization engine process data characterization visualisation diagram design diagrams information model semantic networks generative theory diagram design,english
23,Visualization for functional design,1995,cad influence explorer prosection matrix circuit data visualisation electronic design engineering artifact graphics functional interactive display systems manufacturing process optimisation user interfaces tools visualization functional design,english
24,Research report: improving browsing in information by the automatic display layout,1995,automatic display layout system computer animation layouts graph structured information graphical representations user interfaces human factors browsing network retrieval algorithms manual time consuming model modelling requests research report improving browsing information automatic display layout,english
25,Research report: information animation applications in the capital markets,1995,3d computer graphics capital markets animation data visualisation decision support systems decision-support tool equity trading analytics financial processing fixed income fixed-income risk viewing information applications management securities industry market dimensional visual design research report information animation applications capital markets,english
26,Research report: Interacting with huge hierarchies: beyond cone trees,1995,animated zooming colour computer animation cone tree visualization systems trees data visualisation depth cueing distant node coalescence dynamic queries empirical evaluation fish-eye fsviz graphical techniques hand-coupled rotation huge hierarchies information hierarchy interaction layout algorithm texturing tool efficacy structures usage-based filtering user control visual clutter research report interacting huge hierarchies cone trees,english
